"Supplemental Table 5. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the overall health event prediction evaluation.",,,,,,,,
Fold,Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
3,all real(baseline),0.849557522,0.755309735,0.89380531,0.842592593,0.922625108,calving,D2
3,real+50%Syn,0.849557522,0.778761062,0.920353982,0.838095238,0.924974548,calving,D2
3,real+100%Syn,0.849557522,0.814159292,0.884955752,0.844036697,0.92199859,calving,D2
3,real+150%Syn,0.862831858,0.82300885,0.902654867,0.857142857,0.92552275,calving,D2
3,real+200%Syn,0.849557522,0.82300885,0.876106195,0.845454545,0.918552745,calving,D2
3,real+300%Syn,0.867256637,0.831858407,0.902654867,0.862385321,0.926070953,calving,D2
3,all Syn,0.508849558,0.026548673,0.991150442,0.051282051,0.786044326,calving,D2
1,all real(baseline),0.5625,0.125,1,0.222222222,0.918701172,estrus,D2
1,real+50%Syn,0.9296875,0.90625,0.953125,0.928,0.959228516,estrus,D2
1,real+100%Syn,0.90625,0.890625,0.921875,0.904761905,0.948730469,estrus,D2
1,real+150%Syn,0.90625,0.9375,0.875,0.909090909,0.955078125,estrus,D2
1,real+200%Syn,0.921875,0.921875,0.921875,0.921875,0.942382813,estrus,D2
1,real+300%Syn,0.9609375,0.953125,0.96875,0.960629921,0.989013672,estrus,D2
1,all Syn,0.953125,0.9375,0.96875,0.952380952,0.993652344,estrus,D2
2,all real(baseline),0.5,0,1,0,0.643798828,estrus,D2
2,real+50%Syn,0.6875,0.421875,0.953125,0.574468085,0.758056641,estrus,D2
2,real+100%Syn,0.5703125,0.140625,1,0.246575342,0.723876953,estrus,D2
2,real+150%Syn,0.7109375,0.53125,0.890625,0.647619048,0.744628906,estrus,D2
2,real+200%Syn,0.671875,0.40625,0.9375,0.553191489,0.748535156,estrus,D2
2,real+300%Syn,0.671875,0.390625,0.953125,0.543478261,0.756591797,estrus,D2
2,all Syn,0.5,0,1,0,0.425292969,estrus,D2
3,all real(baseline),0.6640625,0.375,0.953125,0.527472527,0.757324219,estrus,D2
3,real+50%Syn,0.625,0.421875,0.828125,0.529411765,0.705688477,estrus,D2
3,real+100%Syn,0.609375,0.34375,0.875,0.468085106,0.708618164,estrus,D2
3,real+150%Syn,0.515625,0.09375,0.9375,0.162162162,0.602050781,estrus,D2
3,real+200%Syn,0.671875,0.421875,0.921875,0.5625,0.766723633,estrus,D2
3,real+300%Syn,0.515625,0.0625,0.96875,0.114285714,0.598144531,estrus,D2
3,all Syn,0.5078125,0.0625,0.953125,0.112676056,0.514160156,estrus,D2
1,all real(baseline),0.505882353,0.273529412,0.988235294,0.045454545,0.567058824,disease,D2
1,real+50%Syn,0.505882353,0.320588235,0.941176471,0.125,0.604429066,disease,D2
1,real+100%Syn,0.5,0.261764706,0.988235294,0.022988506,0.634048443,disease,D2
1,real+150%Syn,0.517647059,0.308823529,0.976470588,0.108695652,0.59266436,disease,D2
1,real+200%Syn,0.511764706,0.297058824,0.976470588,0.087912088,0.650934256,disease,D2
1,real+300%Syn,0.511764706,0.297058824,0.976470588,0.087912088,0.608581315,disease,D2
1,all Syn,0.511764706,0.323529412,1,0.045977011,0.611626298,disease,D2
2,all real(baseline),0.517647059,0.344117647,0.941176471,0.163265306,0.522214533,disease,D2
2,real+50%Syn,0.523529412,0.308823529,0.988235294,0.10989011,0.508788927,disease,D2
2,real+100%Syn,0.5,0.273529412,0.976470588,0.04494382,0.529550173,disease,D2
2,real+150%Syn,0.529411765,0.344117647,0.964705882,0.166666667,0.556124567,disease,D2
2,real+200%Syn,0.511764706,0.308823529,0.964705882,0.107526882,0.537439446,disease,D2
2,real+300%Syn,0.535294118,0.320588235,1,0.131868132,0.57384083,disease,D2
2,all Syn,0.511764706,0.323529412,1,0.045977011,0.546574394,disease,D2
3,all real(baseline),0.511764706,0.297058824,0.976470588,0.087912088,0.510311419,disease,D2
3,real+50%Syn,0.505882353,0.273529412,0.988235294,0.045454545,0.539238754,disease,D2
3,real+100%Syn,0.5,0.261764706,0.988235294,0.022988506,0.527750865,disease,D2
3,real+150%Syn,0.523529412,0.308823529,0.988235294,0.10989011,0.526228374,disease,D2
3,real+200%Syn,0.505882353,0.297058824,0.964705882,0.086956522,0.523875433,disease,D2
3,real+300%Syn,0.511764706,0.297058824,0.976470588,0.087912088,0.525813149,disease,D2
3,all Syn,0.505882353,0.323529412,0.988235294,0.045454545,0.557370242,disease,D2
1,all real(baseline),0.75,0.45,1,0.666666667,0.75,calving,D3
1,real+50%Syn,0.75,0.5,1,0.666666667,1,calving,D3
1,real+100%Syn,0.75,0.5,1,0.666666667,0.5,calving,D3
1,real+150%Syn,0.75,0.5,1,0.666666667,0.75,calving,D3
1,real+200%Syn,0.75,0.5,1,0.666666667,1,calving,D3
